Reference_Target_SC,Sweep_SC,Sweep_SC_Label,Sweep_SC_Pct,Sweep_Is_Asymptotic
0.965,0.01,0.010,1,False
0.965,0.02,0.020,2,False
0.965,0.03,0.030,3,False
0.965,0.04,0.040,4,False
0.965,0.05,0.050,5,False
0.965,0.06,0.060,6,False
0.965,0.07,0.070,7,False
0.965,0.08,0.080,8,False
0.965,0.09,0.090,9,False
0.965,0.1,0.100,10,False
0.965,0.11,0.110,11,False
0.965,0.12,0.120,12,False
0.965,0.13,0.130,13,False
0.965,0.14,0.140,14,False
0.965,0.15,0.150,15,False
0.965,0.16,0.160,16,False
0.965,0.17,0.170,17,False
0.965,0.18,0.180,18,False
0.965,0.19,0.190,19,False
0.965,0.2,0.200,20,False
0.965,0.21,0.210,21,False
0.965,0.22,0.220,22,False
0.965,0.23,0.230,23,False
0.965,0.24,0.240,24,False
0.965,0.25,0.250,25,False
0.965,0.26,0.260,26,False
0.965,0.27,0.270,27,False
0.965,0.28,0.280,28,False
0.965,0.29,0.290,29,False
0.965,0.3,0.300,30,False
0.965,0.31,0.310,31,False
0.965,0.32,0.320,32,False
0.965,0.33,0.330,33,False
0.965,0.34,0.340,34,False
0.965,0.35,0.350,35,False
0.965,0.36,0.360,36,False
0.965,0.37,0.370,37,False
0.965,0.38,0.380,38,False
0.965,0.39,0.390,39,False
0.965,0.4,0.400,40,False
0.965,0.41,0.410,41,False
0.965,0.42,0.420,42,False
0.965,0.43,0.430,43,False
0.965,0.44,0.440,44,False
0.965,0.45,0.450,45,False
0.965,0.46,0.460,46,False
0.965,0.47,0.470,47,False
0.965,0.48,0.480,48,False
0.965,0.49,0.490,49,False
0.965,0.5,0.500,50,False
0.965,0.51,0.510,51,False
0.965,0.52,0.520,52,False
0.965,0.53,0.530,53,False
0.965,0.54,0.540,54,False
0.965,0.55,0.550,55,False
0.965,0.56,0.560,56,False
0.965,0.57,0.570,57,False
0.965,0.58,0.580,58,False
0.965,0.59,0.590,59,False
0.965,0.6,0.600,60,False
0.965,0.61,0.610,61,False
0.965,0.62,0.620,62,False
0.965,0.63,0.630,63,False
0.965,0.64,0.640,64,False
0.965,0.65,0.650,65,False
0.965,0.66,0.660,66,False
0.965,0.67,0.670,67,False
0.965,0.68,0.680,68,False
0.965,0.69,0.690,69,False
0.965,0.7,0.700,70,False
0.965,0.71,0.710,71,False
0.965,0.72,0.720,72,False
0.965,0.73,0.730,73,False
0.965,0.74,0.740,74,False
0.965,0.75,0.750,75,False
0.965,0.76,0.760,76,False
0.965,0.77,0.770,77,False
0.965,0.78,0.780,78,False
0.965,0.79,0.790,79,False
0.965,0.8,0.800,80,False
0.965,0.81,0.810,81,False
0.965,0.82,0.820,82,False
0.965,0.83,0.830,83,False
0.965,0.84,0.840,84,False
0.965,0.85,0.850,85,False
0.965,0.86,0.860,86,False
0.965,0.87,0.870,87,False
0.965,0.88,0.880,88,False
0.965,0.89,0.890,89,False
0.965,0.9,0.900,90,False
0.965,0.91,0.910,91,False
0.965,0.92,0.920,92,False
0.965,0.93,0.930,93,False
0.965,0.94,0.940,94,False
0.965,0.95,0.950,95,False
0.965,0.96,0.960,96,False
0.965,0.97,0.970,97,False
0.965,0.98,0.980,98,False
0.965,0.99,0.990,99,False
0.965,1.0,1.000_asymptotic,100,True
