N_Partitions,Region_Index,Region_Label,Region_Short_Label,Cutoff_Count,Cutoff_Signed_Min,Cutoff_Signed_Max,Side_Descriptor
1,1,entire signed-cutoff range,R1/1,199,-99.000000,99.000000,entire signed-cutoff range
2,1,bin 1/2: low-to-middle signed-cutoff region,R1/2,100,-99.000000,0.000000,low-to-middle signed-cutoff region
2,2,bin 2/2: high signed-tail side,R2/2,99,1.000000,99.000000,high signed-tail side
3,1,low signed-tail region,R1/3,66,-99.000000,-34.000000,low signed-tail side
3,2,middle signed-cutoff region,R2/3,67,-33.000000,33.000000,middle signed-cutoff region
3,3,high signed-tail region,R3/3,66,34.000000,99.000000,high signed-tail side
4,1,bin 1/4: low signed-tail side,R1/4,50,-99.000000,-50.000000,low signed-tail side
4,2,bin 2/4: low-to-middle signed-cutoff region,R2/4,50,-49.000000,0.000000,low-to-middle signed-cutoff region
4,3,bin 3/4: high signed-tail side,R3/4,50,1.000000,50.000000,high signed-tail side
4,4,bin 4/4: high signed-tail side,R4/4,49,51.000000,99.000000,high signed-tail side
5,1,bin 1/5: low signed-tail side,R1/5,40,-99.000000,-60.000000,low signed-tail side
5,2,bin 2/5: low signed-tail side,R2/5,40,-59.000000,-20.000000,low signed-tail side
5,3,bin 3/5: middle signed-cutoff region,R3/5,40,-19.000000,20.000000,middle signed-cutoff region
5,4,bin 4/5: high signed-tail side,R4/5,40,21.000000,60.000000,high signed-tail side
5,5,bin 5/5: high signed-tail side,R5/5,39,61.000000,99.000000,high signed-tail side
6,1,bin 1/6: low signed-tail side,R1/6,33,-99.000000,-67.000000,low signed-tail side
6,2,bin 2/6: low signed-tail side,R2/6,33,-66.000000,-34.000000,low signed-tail side
6,3,bin 3/6: low-to-middle signed-cutoff region,R3/6,34,-33.000000,0.000000,low-to-middle signed-cutoff region
6,4,bin 4/6: high signed-tail side,R4/6,33,1.000000,33.000000,high signed-tail side
6,5,bin 5/6: high signed-tail side,R5/6,33,34.000000,66.000000,high signed-tail side
6,6,bin 6/6: high signed-tail side,R6/6,33,67.000000,99.000000,high signed-tail side
